INCA ID,Dimensions Researcher ID,Additional Researcher DIM ID to combine,Additional Researcher DIM ID to combine 2,prenom_port,nom_port,URL 1,URL 2,URL 3
inca_883,ur.01005700551.90,,,Philippe,MENEI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01005700551.90,,
inca_885,ur.0740460104.22,,,Philippe,MERLE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0740460104.22,,
inca_887,ur.0606432322.51,,,Jean-Louis,MERLIN,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0606432322.51,,
inca_888,ur.0615512100.15,,,Julie,MERVILLE-DECHANET,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0615512100.15,,
inca_889,ur.01135630170.13,,,Philippe,METELLUS,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01135630170.13,,
inca_890,ur.01001031537.07,,,Guy,MEYER,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01001031537.07,,
inca_892,ur.01204471254.76,ur.01051045712.05,,Gérard,MICHEL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01204471254.76,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01051045712.05,
inca_893,ur.01253031002.67,,,David,MICHONNEAU,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01253031002.67,,
inca_894,ur.0714647170.11,,,Hervé,MIGNOTTE,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0714647170.11,,
inca_895,ur.0653127300.11,,,Gérard,MILANO,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0653127300.11,,
inca_896,ur.01074165145.75,ur.010501560761.08,,Noël,MILPIED,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01074165145.75,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.010501560761.08,
inca_897,ur.01253640667.47,,,Xavier,MIRABEL,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01253640667.47,,
inca_898,ur.01073653327.41,ur.01303607220.37,,Jean-Paul,MOATTI,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01073653327.41,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.01303607220.37,
inca_899,ur.0644135047.33,,,Mohamad,MOHTY,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.0644135047.33,,
inca_901,ur.016634366131.83,,,Vanina,MOLLO,https://inca.dimensions.ai/discover/publication?and_facet_researcher=ur.016634366131.83,,
